City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,Sisimiut,66.9395,-53.6735,35.1,73,30,12.88,GL,2023-05-10 19:32:47
201,Conduaga,8.862,117.4893,78.98,85,26,3.24,PH,2023-05-10 19:32:47
202,Nova Vicosa,-17.8919,-39.3719,76.23,76,100,6.49,BR,2023-05-10 19:32:47
203,Kuanda,56.3161,116.0806,50.32,65,100,0.58,RU,2023-05-10 19:32:47
204,Molina,-35.1167,-71.2833,60.53,63,100,3.44,CL,2023-05-10 19:32:47
205,Kourou,5.1552,-52.6478,80.65,91,100,6.87,GF,2023-05-10 19:30:08
206,Hawaiian Paradise Park,19.5933,-154.9731,75.9,82,100,0.0,US,2023-05-10 19:32:53
207,Saldanha,-33.0117,17.9442,59.05,93,6,7.83,ZA,2023-05-10 19:32:53
208,Saratov,51.5667,46.0333,48.74,45,74,9.31,RU,2023-05-10 19:32:53
209,Puerto Lempira,15.2667,-83.7667,91.54,62,75,13.8,HN,2023-05-10 19:32:53
210,Katsuren-Haebaru,26.3369,127.8719,68.02,71,0,8.05,JP,2023-05-10 19:32:54
211,West Island,-12.1568,96.8225,78.78,94,75,12.66,CC,2023-05-10 19:32:54
212,Kenora,49.8167,-94.4337,72.57,46,75,10.36,CA,2023-05-10 19:29:20
213,Dwarka,22.2394,68.9678,83.32,73,5,11.32,IN,2023-05-10 19:32:54
214,Chui,-33.6971,-53.4616,63.7,55,28,12.41,UY,2023-05-10 19:32:54
215,Lethem,3.3803,-59.7968,76.23,82,100,8.93,GY,2023-05-10 19:32:55
216,Coronado,32.6859,-117.1831,67.84,65,40,11.5,US,2023-05-10 19:31:46
217,Kununurra,-15.7667,128.7333,62.58,48,15,5.75,AU,2023-05-10 19:29:09
218,Forster,-32.1667,152.5167,57.65,78,99,5.48,AU,2023-05-10 19:29:40
219,Kara-Balta,42.8142,73.8481,62.08,32,46,6.71,KG,2023-05-10 19:32:55
220,Angra Do Heroismo,38.65,-27.2167,68.61,87,40,10.0,PT,2023-05-10 19:32:55
221,San Jose De Jachal,-30.2406,-68.7469,67.46,33,3,3.2,AR,2023-05-10 19:32:56
222,Salahonda,2.1019,-78.7217,82.8,77,98,9.86,CO,2023-05-10 19:32:56
223,Al Hada,21.3675,40.2869,70.99,33,100,4.16,SA,2023-05-10 19:32:56
224,Bunbury,-33.3333,115.6333,57.9,56,99,8.57,AU,2023-05-10 19:31:18
225,Grand Falls-Windsor,48.9332,-55.6649,45.5,50,100,5.01,CA,2023-05-10 19:32:56
226,Tazovsky,67.4667,78.7,5.2,91,66,11.97,RU,2023-05-10 19:32:57
227,Mariehamn,60.0973,19.9348,44.82,81,0,8.05,AX,2023-05-10 19:32:57
228,Mount Isa,-20.7333,139.5,47.97,43,0,5.75,AU,2023-05-10 19:32:57
229,Podgornoye,51.735,39.1496,50.22,46,0,4.47,RU,2023-05-10 19:32:57
230,Carqueiranne,43.0953,6.073,67.57,33,0,10.36,FR,2023-05-10 19:32:57
231,College,64.8569,-147.8028,54.09,41,75,4.61,US,2023-05-10 19:32:58
232,Dawson Creek,55.7666,-120.2362,69.44,28,0,6.91,CA,2023-05-10 19:32:59
233,Yeed,4.55,43.0333,80.83,60,100,10.42,SO,2023-05-10 19:32:59
234,Ghadamis,30.1337,9.5007,74.08,34,0,6.8,LY,2023-05-10 19:32:59
235,Kikwit,-5.041,18.8162,75.29,76,78,1.74,CD,2023-05-10 19:33:00
236,Pacific Grove,36.6177,-121.9166,62.22,73,100,6.91,US,2023-05-10 19:33:00
237,Matoury,4.8483,-52.3317,80.56,83,75,2.3,GF,2023-05-10 19:30:11
238,Ixtapa,20.7,-105.2,85.23,54,0,10.36,MX,2023-05-10 19:33:05
239,Itoigawa,37.0333,137.85,50.88,55,4,4.47,JP,2023-05-10 19:33:05
240,Pathein,16.7833,94.7333,82.22,75,100,4.07,MM,2023-05-10 19:33:05
