City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Cartagena,CO,2022-07-28 19:41:49,broken clouds,10.3997,-75.5144,83.82,79,75,8.05
128,Hermanus,ZA,2022-07-28 19:37:17,clear sky,-34.4187,19.2345,57.63,74,0,13.47
129,Buala,SB,2022-07-28 19:41:50,light rain,-8.145,159.5921,79.93,81,60,8.81
130,Gizo,SB,2022-07-28 19:41:50,light rain,-8.103,156.8419,80.91,75,94,6.38
131,Castro,BR,2022-07-28 19:41:51,overcast clouds,-24.7911,-50.0119,68.83,54,100,8.08
132,Tura,IN,2022-07-28 19:41:51,few clouds,25.5198,90.2201,74.19,92,24,2.48
133,Bredasdorp,ZA,2022-07-28 19:41:51,clear sky,-34.5322,20.0403,52.81,74,0,6.33
134,Chuguyevka,RU,2022-07-28 19:42:52,overcast clouds,44.1653,133.8633,68.79,98,100,3.11
135,Tartagal,AR,2022-07-28 19:42:52,overcast clouds,-22.5164,-63.8013,67.46,52,100,15.95
136,Nesna,NO,2022-07-28 19:42:52,scattered clouds,66.1967,13.0213,53.71,75,26,4.03
137,Morwell,AU,2022-07-28 19:42:53,broken clouds,-38.2333,146.4,44.4,99,60,2.64
138,Bengkulu,ID,2022-07-28 19:38:19,overcast clouds,-3.8004,102.2655,75.29,90,87,5.14
139,Labuhan,ID,2022-07-28 19:42:53,broken clouds,-6.8844,112.2051,75.65,86,68,7.76
140,Rockhampton,AU,2022-07-28 19:42:54,broken clouds,-23.3833,150.5,49.89,87,75,0.0
141,Konakovo,RU,2022-07-28 19:42:54,overcast clouds,56.7,36.7667,59.68,91,97,6.8
142,Kaitangata,NZ,2022-07-28 19:42:54,overcast clouds,-46.2817,169.8464,41.77,92,100,8.77
143,Port Lincoln,AU,2022-07-28 19:42:55,overcast clouds,-34.7333,135.8667,52.68,84,98,13.22
144,Padang,ID,2022-07-28 19:42:55,light rain,-0.9492,100.3543,78.31,85,100,4.16
145,Baoding,CN,2022-07-28 19:42:56,overcast clouds,38.8511,115.4903,73.76,86,95,1.54
146,Arraial Do Cabo,BR,2022-07-28 19:42:56,clear sky,-22.9661,-42.0278,84.16,57,0,13.8
147,Plettenberg Bay,ZA,2022-07-28 19:39:43,clear sky,-34.0527,23.3716,62.4,47,0,5.79
148,Sorkjosen,NO,2022-07-28 19:42:57,overcast clouds,69.8,20.9333,51.8,76,100,0.0
149,Chapais,CA,2022-07-28 19:38:13,overcast clouds,49.7834,-74.8492,62.38,94,100,8.12
150,Mar Del Plata,AR,2022-07-28 19:42:57,heavy intensity drizzle,-38.0023,-57.5575,50.09,95,100,18.41
151,Pevek,RU,2022-07-28 19:42:58,overcast clouds,69.7008,170.3133,39.61,78,94,2.46
152,Opuwo,NA,2022-07-28 19:42:58,broken clouds,-18.0607,13.84,62.37,33,74,5.14
153,Lakkion,GR,2022-07-28 19:42:59,clear sky,37.1333,26.85,80.1,81,0,9.51
154,Longyearbyen,SJ,2022-07-28 19:39:42,broken clouds,78.2186,15.6401,42.64,81,75,18.41
155,Batagay,RU,2022-07-28 19:42:59,overcast clouds,67.6333,134.6333,70.54,65,99,2.24
156,Abeche,TD,2022-07-28 19:42:59,overcast clouds,13.8292,20.8324,80.83,65,98,8.01
157,Khorixas,NA,2022-07-28 19:43:00,clear sky,-20.3667,14.9667,58.41,44,5,3.87
158,Lakselv,NO,2022-07-28 19:43:00,overcast clouds,70.0513,24.9718,51.62,76,100,9.22
159,Lokosovo,RU,2022-07-28 19:43:01,overcast clouds,61.1333,74.8167,54.75,80,98,6.6
160,Cascavel,BR,2022-07-28 19:40:59,clear sky,-24.9558,-53.4553,82.0,34,0,18.41
161,Banda Aceh,ID,2022-07-28 19:43:01,overcast clouds,5.5577,95.3222,77.77,84,100,15.17
162,Christchurch,NZ,2022-07-28 19:43:01,few clouds,-43.5333,172.6333,37.6,100,20,4.61
163,Akureyri,IS,2022-07-28 19:43:02,broken clouds,65.6835,-18.0878,60.73,41,75,10.36
164,Marienburg,PL,2022-07-28 19:38:34,scattered clouds,54.0359,19.0266,61.88,93,38,6.17
165,Sinop,TR,2022-07-28 19:43:03,clear sky,41.7711,34.8709,61.88,79,0,5.44
166,Kodiak,US,2022-07-28 19:43:03,clear sky,57.79,-152.4072,60.31,67,0,5.75
167,Wexford,IE,2022-07-28 19:43:04,overcast clouds,52.3342,-6.4575,63.21,70,100,3.0
168,Hamilton,US,2022-07-28 19:42:05,scattered clouds,39.1834,-84.5333,90.61,51,40,12.66
169,Nioro,GM,2022-07-28 19:43:04,broken clouds,13.35,-15.75,80.83,75,55,11.07
170,Provideniya,RU,2022-07-28 19:43:05,overcast clouds,64.3833,-173.3,48.96,84,97,3.78
171,Byron Bay,AU,2022-07-28 19:38:57,clear sky,-28.65,153.6167,46.94,85,0,5.19
172,Nelson Bay,AU,2022-07-28 19:40:40,overcast clouds,-32.7167,152.15,54.0,84,93,10.0
173,Vardo,NO,2022-07-28 19:43:06,overcast clouds,70.3705,31.1107,49.98,87,100,16.11
174,Praia,CV,2022-07-28 19:40:36,clear sky,14.9215,-23.5087,90.14,31,0,9.22
175,Guerrero Negro,MX,2022-07-28 19:39:20,few clouds,27.9769,-114.0611,79.21,55,21,13.94
176,Chengde,CN,2022-07-28 19:43:07,overcast clouds,40.9725,117.9361,68.16,93,98,3.38
177,Moose Factory,CA,2022-07-28 19:43:07,broken clouds,51.2585,-80.6094,66.2,82,75,5.75
178,Ca Mau,VN,2022-07-28 19:43:07,scattered clouds,9.1769,105.15,77.49,92,43,3.29
179,Mashhad,IR,2022-07-28 19:44:08,clear sky,36.297,59.6062,80.74,44,0,4.61
180,Shubarshi,KZ,2022-07-28 19:44:08,broken clouds,48.5872,57.1869,76.24,47,58,6.35
181,Bac Lieu,VN,2022-07-28 19:44:09,clear sky,9.285,105.7244,80.29,83,3,5.86
182,Carnarvon,AU,2022-07-28 19:44:09,overcast clouds,-24.8667,113.6333,70.07,55,100,6.98
183,Mount Isa,AU,2022-07-28 19:44:09,clear sky,-20.7333,139.5,47.97,46,2,8.05
184,Luderitz,NA,2022-07-28 19:44:10,broken clouds,-26.6481,15.1594,54.52,86,60,2.68
185,Thompson,CA,2022-07-28 19:44:10,few clouds,55.7435,-97.8558,73.56,38,20,8.05
186,Corn Island,NI,2022-07-28 19:44:11,overcast clouds,12.1694,-83.0418,81.19,76,97,9.82
187,Karema,TZ,2022-07-28 19:44:11,clear sky,-6.8205,30.4389,73.04,56,1,2.06
188,Bambous Virieux,MU,2022-07-28 19:44:12,broken clouds,-20.3428,57.7575,70.05,78,75,6.91
189,Tasiilaq,GL,2022-07-28 19:44:12,overcast clouds,65.6145,-37.6368,42.96,94,100,3.94
190,Camocim,BR,2022-07-28 19:43:01,scattered clouds,-2.9022,-40.8411,83.17,66,32,15.1
191,Nadym,RU,2022-07-28 19:44:13,scattered clouds,65.5333,72.5167,60.1,70,27,2.71
192,Samarai,PG,2022-07-28 19:44:13,overcast clouds,-10.6167,150.6667,78.19,85,87,13.96
193,Shenzhen,CN,2022-07-28 19:44:00,overcast clouds,22.5455,114.0683,87.22,80,100,4.68
194,Boa Vista,BR,2022-07-28 19:39:49,broken clouds,2.8197,-60.6733,78.78,83,75,9.22
195,Arona,ES,2022-07-28 19:44:14,few clouds,28.0996,-16.681,73.69,77,20,21.85
196,Mackay,AU,2022-07-28 19:44:14,overcast clouds,-21.15,149.2,51.67,80,94,7.63
197,Souillac,MU,2022-07-28 19:41:57,broken clouds,-20.5167,57.5167,70.18,78,75,6.91
198,Chisindia,RO,2022-07-28 19:44:15,overcast clouds,46.2833,22.1,75.85,42,93,3.91
199,Kahului,US,2022-07-28 19:44:16,few clouds,20.8947,-156.47,83.97,63,20,13.0
200,Ancud,CL,2022-07-28 19:44:16,overcast clouds,-41.8697,-73.8203,47.52,79,100,4.97
201,Dibulla,CO,2022-07-28 19:44:16,overcast clouds,11.2725,-73.3091,79.88,85,99,3.29
202,Kalmunai,LK,2022-07-28 19:44:17,moderate rain,7.4167,81.8167,79.02,83,100,3.74
