City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Monrovia,LR,77.34,overcast clouds,6.3005,-10.7969,Sunset Inn
322,Tekirdag,TR,79.95,clear sky,40.978,27.5085,Tekirdağ Yat Hotel
323,Muisne,EC,76.62,overcast clouds,0.6,-80.0333,Quinta Samay
325,Nago,JP,82.83,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
326,Cacahuatepec,MX,78.22,overcast clouds,16.8861,-99.6106,Apanhuc
327,Palu,ID,75.09,broken clouds,-0.8917,119.8707,Hotel Santika Palu
328,Tautira,PF,77.13,light rain,-17.7333,-149.15,Pension Oaoa
331,Cayhagan,PH,81.01,overcast clouds,9.6697,122.4256,Melrose Beach Resort
333,Shahrud,IR,78.26,few clouds,36.4182,54.9763,Royal Hotel
335,Ponta Do Sol,PT,79.43,clear sky,32.6667,-17.1,Hotel do Campo
336,Sisophon,KH,78.98,scattered clouds,13.5859,102.9737,Pyramid Hotel
337,Port Hawkesbury,CA,79.92,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
342,Veraval,IN,81.39,overcast clouds,20.9,70.3667,Lords Inn Somnath
343,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
345,Shelburne,CA,77.76,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
355,Costinesti,RO,80.06,clear sky,43.95,28.6333,Villa Mar Bella
357,Ndjole,GA,80.29,overcast clouds,-0.1783,10.7649,Motel Kédyann
358,Bardiyah,LY,81.5,clear sky,31.7561,25.0865,بورتو بردية
364,Danane,CI,76.73,overcast clouds,7.2596,-8.155,Lmd
367,Darnetal,FR,81.52,clear sky,49.4453,1.1514,Hôtel Mercure Rouen Centre Champ-de-Mars
370,Balkhash,KZ,80.29,few clouds,46.844,74.9804,Family
373,San Jose,US,75.54,scattered clouds,37.3394,-121.895,The Westin San Jose
387,Marsh Harbour,BS,83.35,broken clouds,26.5412,-77.0636,Abaco Beach Resort
389,Pirgos,GR,82.62,clear sky,35.1167,25.7178,Elpida Village
391,Gigmoto,PH,80.96,moderate rain,13.7796,124.39,Cj's Travellers Inn
392,Cardston,CA,75.49,clear sky,49.2,-113.3019,Flamingo Motel
395,Chaumont,FR,77.85,overcast clouds,48.1167,5.1333,Hôtel Restaurant Des Remparts
400,Curvelo,BR,82.76,few clouds,-18.7564,-44.4308,Pontal Plaza Hotel
404,Kindu,CD,79.57,overcast clouds,-2.95,25.95,Résidence Okanda
406,Kuah,MY,82.38,moderate rain,6.3265,99.8432,Azio Hotel
407,Touros,BR,82.26,few clouds,-5.1989,-35.4608,INN NEW HORIZON
409,Prigorodka,RU,77.0,broken clouds,52.0447,39.7124,Bazilik Usman'
414,Lahat,ID,75.9,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
416,Gushikawa,JP,83.43,clear sky,26.3544,127.8686,Kirari Guest House
417,Vung Tau,VN,81.79,scattered clouds,10.346,107.0843,Seaside Resort
419,Axim,GH,77.83,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
423,Hirara,JP,84.52,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
424,Chapada Dos Guimaraes,BR,83.86,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
433,Faanui,PF,79.36,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
434,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
435,Naze,JP,79.72,broken clouds,28.3667,129.4833,Shishime Hotel
436,Donskoye,RU,78.93,broken clouds,45.4552,41.9741, 
437,Ambon,ID,78.94,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
